glass	crystal	0.6174304
task	woman	0.36835432
house	barn	0.7057324
vision	perception	0.76383746
box	hat	0.606578
metal	aluminum	0.65811294
doctor	orthodontist	0.6181406
letter	paragraph	0.60138065
man	child	0.61121905
home	state	0.3627716
mink	fur	0.69132316
mother	wife	0.77589965
child	adult	0.572991
fee	payment	0.7793093
milk	juice	0.802168
cup	cone	0.3204439
book	article	0.65747195
money	capital	0.3796498
body	shoulder	0.46772832
cheek	tongue	0.884048
father	brother	0.77158076
book	information	0.31125158
appointment	engagement	0.6915368
gun	knife	0.67713183
meat	sandwich	0.70999116
birthday	year	0.42870986
formula	equation	0.57392114
wire	cord	0.75342107
car	hose	0.59185237
room	bath	0.52333915
rice	bean	0.7514145
crime	fraud	0.6058034
disease	infection	0.890633
winner	presence	0.057990756
atom	carbon	0.75673485
shore	coast	0.8271158
argument	agreement	0.43021148
administration	management	0.59355825
idea	scheme	0.5953421
task	highway	0.1836502
water	salt	0.6875806
blood	marrow	0.6772613
cereal	wheat	0.8581062
belief	concept	0.6347215
pupil	president	0.31194293
wood	log	0.48574224
steak	meat	0.8265329
day	morning	0.64618313
fraternity	door	0.16902654
tin	metal	0.6117303
king	princess	0.65745425
ballad	song	0.8278325
tobacco	cigarette	0.65196186
dreary	dull	0.72030616
different	normal	0.5852004
insane	crazy	0.6696013
smart	dumb	0.64642614
smart	intelligent	0.6508713
weird	strange	0.7162997
delightful	wonderful	0.8302396
crucial	important	0.79972017
terrific	mad	0.61266285
kill	choke	0.4874824
go	come	0.7645227
cooperate	participate	0.8144914
become	appear	0.50079095
say	verify	0.57399005
make	earn	0.5510489
come	attend	0.48152682
save	protect	0.69704854
advise	recommend	0.8257057
remind	sell	0.6470512
leave	enter	0.7925111
know	believe	0.8138509
lose	fail	0.68254375
assume	predict	0.6387381
get	remain	0.5961274
discuss	explain	0.69830686
learn	evaluate	0.5856383
keep	borrow	0.70521104
activity	movement	0.54400927
story	topic	0.5169075
game	trick	0.53471
anger	fury	0.4899086
bell	door	0.59019727
course	stomach	0.23044677
molecule	air	0.32455984
baby	daughter	0.604654
ball	cannon	0.55971396
day	dawn	0.5046605
pact	agreement	0.83202755
street	alley	0.5973337
beauty	age	0.3006141
worker	employer	0.74037397
god	spirit	0.75663877
illness	infection	0.74126315
cancer	sickness	0.6616516
snow	storm	0.6072374
navy	army	0.7733632
school	grade	0.49984002
word	page	0.3191578
bed	crib	0.7732722
bean	coffee	0.6398617
yard	inch	0.7129263
adult	baby	0.46989134
tree	maple	0.5982898
date	calendar	0.5677342
word	clue	0.5150988
attorney	lawyer	0.8029403
bread	cheese	0.86287266
belief	opinion	0.6673138
sun	sky	0.8131196
beach	sea	0.49314344
aisle	hallway	0.75571907
hand	thumb	0.70683336
winter	season	0.4822647
sorrow	shame	0.8912841
couch	baseball	0.30955243
body	nerve	0.40544096
violin	instrument	0.6307348
island	task	0.1919462
attitude	confidence	0.640058
world	globe	0.46448892
winter	summer	0.8930719
people	gun	0.34159094
college	class	0.41192448
dad	mother	0.6800957
father	daughter	0.7549832
man	husband	0.49712405
door	floor	0.6766692
winner	goal	0.61295515
chemistry	theory	0.61802113
newspaper	information	0.3853103
long	narrow	0.5260892
afraid	anxious	0.77163655
formal	proper	0.718915
bold	proud	0.5226126
guilty	ashamed	0.5209799
certain	sure	0.50756466
harsh	cruel	0.65852654
dumb	intelligent	0.68938315
fragile	frigid	0.6140593
please	plead	0.67411476
gather	meet	0.6860596
absorb	withdraw	0.48183453
give	put	0.7215471
want	choose	0.7203178
keep	protect	0.76947385
bring	complain	0.62284297
choose	elect	0.6005932
add	build	0.6825811
bring	restore	0.729132
investigate	pursue	0.6408449
ask	pray	0.80109155
give	borrow	0.6653616
accept	recommend	0.7104569
speak	hear	0.7954555
acquire	obtain	0.880207
multiply	divide	0.71807885
begin	go	0.5879521
mother	guardian	0.4540384
august	month	0.44923502
journey	trip	0.812183
supper	meal	0.7290467
ball	costume	0.52050966
wine	brandy	0.869555
alcohol	wine	0.5978784
body	spine	0.5277427
man	victor	0.30195147
hill	cliff	0.7310388
night	dawn	0.6591098
medium	news	0.24591336
sunset	evening	0.6445431
nose	mouth	0.7283183
doctor	temper	0.35659057
bottom	side	0.6160541
composer	writer	0.8376364
door	kitchen	0.658459
boy	kid	0.7112517
mouse	cat	0.70512927
tower	bell	0.61834115
night	day	0.7139254
alcohol	gin	0.50387686
hand	foot	0.4811436
rail	fence	0.7086896
blood	flesh	0.70227236
bath	balloon	0.44246584
hat	coat	0.5199519
noise	rattle	0.59793156
book	story	0.63545316
club	society	0.42756474
clothes	closet	0.6857254
machine	engine	0.63640016
politician	president	0.6030757
mud	dirt	0.8649815
lake	swamp	0.6694777
